uc,run,convergence_time_ms,convergence_time_s
UC1_P10,run-20251130-191904_uc1_p10_m2000_r10_s256_DIRECT,202347.0,202.347
UC1_P10,run-20251130-192239_uc1_p10_m2000_r10_s256_DIRECT,202406.0,202.406
UC1_P10,run-20251130-192612_uc1_p10_m2000_r10_s256_DIRECT,202507.66666666666,202.50766666666667
UC1_P10,run-20251130-192948_uc1_p10_m2000_r10_s256_DIRECT,202616.6,202.6166
UC1_P10,run-20251130-193323_uc1_p10_m2000_r10_s256_DIRECT,202399.5,202.3995
UC1_P10,run-20251130-193701_uc1_p10_m2000_r10_s256_DIRECT,202369.0,202.369
UC1_P10,run-20251130-194038_uc1_p10_m2000_r10_s256_DIRECT,202398.0,202.398
UC1_P10,run-20251130-194418_uc1_p10_m2000_r10_s256_DIRECT,202832.57142857142,202.8325714285714
UC1_P10,run-20251130-194755_uc1_p10_m2000_r10_s256_DIRECT,202757.0,202.757
UC1_P10,run-20251130-195130_uc1_p10_m2000_r10_s256_DIRECT,202889.0,202.889
UC2_P10,run-20251130-223524_uc2_p10_m2000_r10_s256_RELAY,202782.7,202.7827
UC2_P10,run-20251130-223910_uc2_p10_m2000_r10_s256_RELAY,202704.6,202.7046
UC2_P10,run-20251130-224256_uc2_p10_m2000_r10_s256_RELAY,202702.5,202.7025
UC2_P10,run-20251130-224642_uc2_p10_m2000_r10_s256_RELAY,202769.3,202.7693
UC2_P10,run-20251130-225028_uc2_p10_m2000_r10_s256_RELAY,202892.0,202.892
UC2_P10,run-20251130-225414_uc2_p10_m2000_r10_s256_RELAY,202883.1,202.8831
UC2_P10,run-20251130-225800_uc2_p10_m2000_r10_s256_RELAY,202908.7,202.9087
UC2_P10,run-20251130-230146_uc2_p10_m2000_r10_s256_RELAY,202801.2,202.80120000000002
UC2_P10,run-20251130-230532_uc2_p10_m2000_r10_s256_RELAY,202735.0,202.735
UC2_P10,run-20251130-230918_uc2_p10_m2000_r10_s256_RELAY,202744.0,202.744
